geo,election_year,election_date,vs_AGR,vs_CHR,vs_CON,vs_DIV,vs_ECO,vs_ETH,vs_LEF,vs_LIB,vs_NAT,vs_SIP,vs_SOC,fragmentation_enp,polarization_dalton
PT,2005,2005-02-20,0.0,7.464,29.638,0.0,1.086,0.0,13.056000000000001,0.0,0.0,0.0,46.396,3.151471859383322,2.0325036324023653
PT,2009,2009-09-27,0.0,10.4,30.05,0.0,1.089,0.0,17.215,0.0,0.0,0.0,37.73,3.8628833431658265,2.3640222971056675
PT,2011,2011-06-05,0.0,12.21,40.306,0.0,1.029,0.0,12.594,0.0,0.0,0.0,29.239,3.6892547402463105,2.7742611791606495
PT,2015,2015-10-04,0.0,0.0,40.034,0.0,2.451,0.0,18.139,0.0,0.0,0.0,33.568,3.4462425575695286,1.820751546704589
PT,2019,2019-10-06,0.0,4.439,29.18,0.0,5.694,0.0,15.292000000000002,1.355,1.358,0.0,38.195,4.038066792660569,2.6841725887034156
PT,2022,2022-01-30,0.0,1.64609987790055,29.87202,0.0,2.9419044744878597,0.0,8.92485115957557,5.05170537763614,7.37689228761572,0.0,42.5013312808075,3.5391254484845747,3.557863606575114
RO,1992,1992-09-27,2.999,20.01,0.0,0.0,0.0,7.457,30.753,0.0,11.615,0.0,10.188,7.0373364449470035,2.2005151143047974
RO,1996,1996-11-03,0.0,30.169,0.0,0.0,0.0,6.64,21.766,0.0,8.823,0.0,12.928,6.119657079630246,1.5846557452603578
RO,2000,2000-11-26,0.0,0.0,0.0,0.0,0.0,6.798,36.611,6.894,19.485,0.0,7.033,5.367013345762978,2.00460958600977
RO,2004,2004-11-28,0.0,0.0,0.0,36.8,0.0,6.165,0.0,31.5,12.924,0.0,0.0,3.919221703740849,3.0660782458269598
RO,2008,2008-11-30,0.0,32.364,0.0,33.099,0.0,6.2,0.0,18.6,0.0,0.0,0.0,3.9566786467787267,1.9689020374337483
RO,2012,2012-12-09,0.0,0.0,16.508,0.0,0.0,5.137,0.0,0.0,13.992,0.0,58.63,2.5431342287173364,3.5493892769659885
